epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,452.733,0.55925,0.96642,0.90795,0.49988,0.8488,0.61911,0.55952,0.43108,0.91641,0.87168,0.00016516,0.00016516,0.00016516
43,463.442,0.5527,0.95785,0.9079,0.44029,0.92623,0.48758,0.43405,0.45348,1.01248,0.87874,0.000162408,0.000162408,0.000162408
44,474.101,0.54986,0.9401,0.90358,0.46029,0.89055,0.57271,0.52062,0.41146,0.91933,0.86771,0.000159655,0.000159655,0.000159655
45,484.766,0.54859,0.92828,0.90534,0.49537,0.85065,0.61223,0.55158,0.42064,0.90347,0.86843,0.000156903,0.000156903,0.000156903
46,495.479,0.54974,0.9325,0.89968,0.5476,0.81402,0.66242,0.59507,0.43544,0.85716,0.87725,0.000154151,0.000154151,0.000154151
47,506.141,0.55011,0.9121,0.90006,0.49728,0.83202,0.58893,0.53033,0.42591,0.91899,0.86803,0.000151399,0.000151399,0.000151399
48,516.807,0.54473,0.89091,0.89941,0.48708,0.89418,0.60858,0.55297,0.42603,0.89795,0.87185,0.000148647,0.000148647,0.000148647
49,527.526,0.54088,0.87573,0.89577,0.57674,0.79753,0.70054,0.63458,0.41496,0.80647,0.86729,0.000145894,0.000145894,0.000145894
50,538.277,0.5392,0.87705,0.90161,0.60173,0.82801,0.744,0.67658,0.40706,0.75196,0.86642,0.000143142,0.000143142,0.000143142
51,549.002,0.53644,0.86594,0.89891,0.50056,0.86447,0.63621,0.57595,0.41882,0.90558,0.86854,0.00014039,0.00014039,0.00014039
52,559.715,0.53561,0.83416,0.897,0.5774,0.81814,0.72345,0.6561,0.41737,0.78621,0.86906,0.000137638,0.000137638,0.000137638
53,570.375,0.53753,0.83425,0.89766,0.63156,0.80274,0.76794,0.70033,0.4094,0.70614,0.8647,0.000134886,0.000134886,0.000134886
54,581.095,0.53528,0.81672,0.89529,0.60318,0.81052,0.70349,0.64185,0.4104,0.77228,0.86387,0.000132133,0.000132133,0.000132133
55,591.801,0.53449,0.80343,0.89489,0.43837,0.83743,0.48944,0.43838,0.4404,1.16585,0.8719,0.000129381,0.000129381,0.000129381
56,602.446,0.5318,0.82514,0.89456,0.5124,0.80576,0.63007,0.57115,0.41024,0.89194,0.86318,0.000126629,0.000126629,0.000126629
57,613.096,0.52715,0.78976,0.89289,0.47147,0.88444,0.58532,0.53202,0.41137,0.94382,0.86413,0.000123877,0.000123877,0.000123877
58,623.815,0.5232,0.76026,0.89124,0.53535,0.7705,0.65021,0.59096,0.40692,0.90441,0.86327,0.000121125,0.000121125,0.000121125
59,634.466,0.52638,0.75796,0.89263,0.6416,0.78539,0.74556,0.67939,0.40556,0.74959,0.86118,0.000118372,0.000118372,0.000118372
60,645.135,0.52317,0.74492,0.89085,0.77165,0.82363,0.86365,0.78298,0.4172,0.5643,0.86702,0.00011562,0.00011562,0.00011562
61,655.905,0.52287,0.73101,0.89014,0.51926,0.82051,0.63219,0.57578,0.41855,0.9192,0.86636,0.000112868,0.000112868,0.000112868
62,666.559,0.51613,0.74201,0.88868,0.62819,0.81182,0.7514,0.68256,0.40901,0.74667,0.86167,0.000110116,0.000110116,0.000110116
63,677.217,0.5213,0.72354,0.89166,0.55812,0.78953,0.67119,0.6103,0.41016,0.84238,0.86245,0.000107364,0.000107364,0.000107364
64,687.927,0.51726,0.72803,0.88983,0.50151,0.8342,0.6353,0.57933,0.40935,0.90744,0.86092,0.000104611,0.000104611,0.000104611
65,698.582,0.50813,0.69223,0.88905,0.65581,0.81691,0.76697,0.70181,0.40528,0.6902,0.86022,0.000101859,0.000101859,0.000101859
66,709.246,0.51201,0.69124,0.88605,0.65954,0.82714,0.78862,0.72082,0.40517,0.68641,0.85981,9.9107e-05,9.9107e-05,9.9107e-05
67,719.949,0.50649,0.68272,0.88698,0.59881,0.80541,0.73235,0.67206,0.39613,0.79817,0.8592,9.63548e-05,9.63548e-05,9.63548e-05
68,730.608,0.50626,0.6774,0.88799,0.65393,0.83127,0.77669,0.71333,0.39242,0.67412,0.85677,9.36026e-05,9.36026e-05,9.36026e-05
69,741.262,0.50269,0.67134,0.88587,0.61777,0.81367,0.76585,0.7028,0.39505,0.72847,0.85817,9.08504e-05,9.08504e-05,9.08504e-05
70,751.965,0.49715,0.63216,0.88357,0.52567,0.85606,0.64761,0.59433,0.40164,0.88811,0.86092,8.80982e-05,8.80982e-05,8.80982e-05
71,762.633,0.49992,0.65438,0.88447,0.64672,0.82583,0.79049,0.72456,0.39844,0.67314,0.85969,8.5346e-05,8.5346e-05,8.5346e-05
72,773.283,0.50039,0.65691,0.88259,0.60043,0.82615,0.74134,0.68355,0.39324,0.74195,0.85863,8.25938e-05,8.25938e-05,8.25938e-05
73,783.992,0.49545,0.62722,0.88018,0.61282,0.80895,0.76027,0.69516,0.40178,0.77828,0.85984,7.98416e-05,7.98416e-05,7.98416e-05
74,794.636,0.49397,0.62217,0.88411,0.69264,0.76158,0.75737,0.69634,0.39766,0.69764,0.85849,7.70894e-05,7.70894e-05,7.70894e-05
75,805.293,0.49213,0.6242,0.88268,0.76704,0.83821,0.86281,0.7915,0.38916,0.51237,0.85658,7.43372e-05,7.43372e-05,7.43372e-05
76,816.05,0.49489,0.63455,0.88482,0.48584,0.85107,0.5965,0.54756,0.40347,0.9942,0.85849,7.1585e-05,7.1585e-05,7.1585e-05
77,826.701,0.49257,0.62751,0.8798,0.69113,0.85036,0.82517,0.75865,0.38627,0.60844,0.85404,6.88328e-05,6.88328e-05,6.88328e-05
78,837.363,0.49315,0.61621,0.88287,0.60292,0.81064,0.74168,0.68301,0.3916,0.75669,0.85422,6.60806e-05,6.60806e-05,6.60806e-05
79,848.083,0.49197,0.59344,0.88018,0.63066,0.83144,0.77915,0.71867,0.38904,0.67128,0.85508,6.33284e-05,6.33284e-05,6.33284e-05
80,858.733,0.48565,0.57077,0.88018,0.7495,0.80893,0.8482,0.78001,0.38682,0.59675,0.85224,6.05762e-05,6.05762e-05,6.05762e-05
81,869.385,0.48295,0.58933,0.87943,0.68856,0.87833,0.84033,0.77391,0.38728,0.58014,0.85429,5.7824e-05,5.7824e-05,5.7824e-05
82,880.098,0.4808,0.57495,0.87959,0.74217,0.83853,0.8473,0.77959,0.38786,0.54663,0.85264,5.50718e-05,5.50718e-05,5.50718e-05
83,890.757,0.48202,0.58783,0.8765,0.71059,0.85325,0.85336,0.78765,0.38371,0.60713,0.85199,5.23196e-05,5.23196e-05,5.23196e-05
84,901.408,0.48494,0.57431,0.87957,0.58282,0.82086,0.68715,0.6351,0.38695,0.82017,0.85388,4.95674e-05,4.95674e-05,4.95674e-05
85,912.105,0.48471,0.57468,0.87897,0.66234,0.84446,0.79676,0.73341,0.38428,0.64431,0.85197,4.68152e-05,4.68152e-05,4.68152e-05
86,922.754,0.47723,0.5574,0.8758,0.61614,0.80694,0.72494,0.67051,0.38693,0.76871,0.85326,4.4063e-05,4.4063e-05,4.4063e-05
87,933.394,0.47608,0.55557,0.87769,0.64532,0.83616,0.76961,0.71198,0.38553,0.70442,0.85323,4.13108e-05,4.13108e-05,4.13108e-05
88,944.096,0.47385,0.55059,0.87789,0.70178,0.79948,0.81697,0.75747,0.37998,0.65053,0.85175,3.85586e-05,3.85586e-05,3.85586e-05
89,954.745,0.47299,0.55078,0.87872,0.72583,0.82073,0.83703,0.77301,0.381,0.58089,0.85122,3.58064e-05,3.58064e-05,3.58064e-05
90,965.386,0.47664,0.56505,0.87518,0.71142,0.84348,0.84208,0.77776,0.38014,0.57627,0.85112,3.30542e-05,3.30542e-05,3.30542e-05
91,976.415,0.41566,0.47513,0.86255,0.68607,0.80824,0.78902,0.72761,0.38786,0.65589,0.85111,3.0302e-05,3.0302e-05,3.0302e-05
92,986.955,0.4034,0.45009,0.85799,0.66033,0.86706,0.81037,0.74612,0.38598,0.65509,0.84986,2.75498e-05,2.75498e-05,2.75498e-05
93,997.496,0.40418,0.44323,0.85915,0.74296,0.77556,0.83201,0.76612,0.38274,0.61998,0.84915,2.47976e-05,2.47976e-05,2.47976e-05
94,1008.11,0.39822,0.43757,0.8544,0.71305,0.84024,0.81712,0.75556,0.38185,0.60954,0.84862,2.20454e-05,2.20454e-05,2.20454e-05
95,1018.65,0.4037,0.41943,0.85859,0.66412,0.85252,0.79642,0.73624,0.38236,0.65901,0.84878,1.92932e-05,1.92932e-05,1.92932e-05
96,1029.23,0.40075,0.41609,0.85625,0.68038,0.83901,0.81782,0.75592,0.3813,0.62554,0.84885,1.6541e-05,1.6541e-05,1.6541e-05
97,1039.77,0.40069,0.40276,0.85352,0.79056,0.81119,0.86448,0.7982,0.37823,0.53778,0.84794,1.37888e-05,1.37888e-05,1.37888e-05
98,1050.36,0.39637,0.4045,0.8534,0.77991,0.79541,0.85204,0.78673,0.37946,0.58127,0.84856,1.10366e-05,1.10366e-05,1.10366e-05
99,1060.91,0.39596,0.39461,0.85446,0.68622,0.83369,0.81205,0.74987,0.37991,0.64313,0.84861,8.2844e-06,8.2844e-06,8.2844e-06
100,1071.44,0.39312,0.3919,0.85388,0.66658,0.82585,0.79614,0.73526,0.3805,0.681,0.84863,5.5322e-06,5.5322e-06,5.5322e-06
