epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,885.888,0.90217,1.38477,1.03572,0.53585,0.79207,0.45901,0.37579,0.68798,1.17649,0.96322,0.000112285,0.000112285,0.000112285
43,906.876,0.90017,1.38315,1.0368,0.53149,0.77701,0.45332,0.37288,0.6841,1.19448,0.96366,0.000110414,0.000110414,0.000110414
44,927.85,0.89466,1.38371,1.03008,0.53539,0.80016,0.45897,0.37785,0.679,1.15806,0.96069,0.000108543,0.000108543,0.000108543
45,948.757,0.8764,1.36323,1.02351,0.53502,0.80415,0.47145,0.38848,0.67806,1.1527,0.96145,0.000106672,0.000106672,0.000106672
46,969.732,0.88822,1.37487,1.02541,0.53632,0.80198,0.46475,0.38053,0.69045,1.15545,0.96293,0.000104801,0.000104801,0.000104801
47,990.666,0.87722,1.34534,1.02061,0.5374,0.79944,0.46589,0.38503,0.66455,1.14087,0.95356,0.000102929,0.000102929,0.000102929
48,1011.62,0.87179,1.34821,1.01691,0.53713,0.80958,0.46923,0.38822,0.66408,1.13846,0.94971,0.000101058,0.000101058,0.000101058
49,1032.57,0.86281,1.33342,1.0153,0.53553,0.79533,0.46899,0.38824,0.6594,1.14567,0.94995,9.91872e-05,9.91872e-05,9.91872e-05
50,1053.51,0.86249,1.33781,1.01111,0.53845,0.80607,0.47039,0.38983,0.65784,1.12883,0.95018,9.73161e-05,9.73161e-05,9.73161e-05
51,1074.56,0.86067,1.32344,1.01326,0.53781,0.8036,0.4745,0.3913,0.66711,1.12912,0.95199,9.5445e-05,9.5445e-05,9.5445e-05
52,1095.51,0.85106,1.32807,1.01032,0.53847,0.80174,0.46835,0.38738,0.65355,1.13522,0.94615,9.35739e-05,9.35739e-05,9.35739e-05
53,1116.47,0.8535,1.30546,1.00977,0.53741,0.80659,0.47288,0.39535,0.64866,1.12599,0.94241,9.17028e-05,9.17028e-05,9.17028e-05
54,1137.39,0.84642,1.31232,1.00848,0.53534,0.79952,0.47103,0.39269,0.64892,1.1274,0.94293,8.98317e-05,8.98317e-05,8.98317e-05
55,1158.37,0.84567,1.30773,1.00543,0.53581,0.80444,0.47005,0.39133,0.64827,1.12445,0.94368,8.79606e-05,8.79606e-05,8.79606e-05
56,1179.28,0.83851,1.29718,1.00334,0.53675,0.8094,0.47094,0.39226,0.65023,1.11932,0.94178,8.60895e-05,8.60895e-05,8.60895e-05
57,1200.37,0.84279,1.30099,0.99962,0.53781,0.80917,0.47658,0.39734,0.66011,1.11587,0.9433,8.42184e-05,8.42184e-05,8.42184e-05
58,1221.33,0.84673,1.30352,1.00193,0.53739,0.8119,0.47432,0.39697,0.6393,1.11019,0.9384,8.23473e-05,8.23473e-05,8.23473e-05
59,1242.28,0.82868,1.28921,1.00117,0.53847,0.80895,0.46363,0.38873,0.63631,1.11014,0.93544,8.04762e-05,8.04762e-05,8.04762e-05
60,1263.25,0.82554,1.28995,0.99686,0.5367,0.813,0.46884,0.39243,0.6356,1.10879,0.93717,7.86051e-05,7.86051e-05,7.86051e-05
61,1284.22,0.83144,1.29091,0.99944,0.53944,0.8175,0.46769,0.39024,0.63654,1.10232,0.93663,7.6734e-05,7.6734e-05,7.6734e-05
62,1305.2,0.81979,1.27394,0.99465,0.53788,0.81791,0.46191,0.38853,0.62409,1.09864,0.93279,7.48629e-05,7.48629e-05,7.48629e-05
63,1326.17,0.8178,1.27184,0.99341,0.53762,0.80369,0.4701,0.39526,0.63204,1.10968,0.93278,7.29918e-05,7.29918e-05,7.29918e-05
64,1347.13,0.81278,1.27515,0.99889,0.53801,0.81498,0.46811,0.39321,0.62387,1.09553,0.93035,7.11207e-05,7.11207e-05,7.11207e-05
65,1368.06,0.82406,1.26211,0.9899,0.53962,0.8183,0.47971,0.40242,0.62538,1.08958,0.93267,6.92496e-05,6.92496e-05,6.92496e-05
66,1389,0.81745,1.26844,0.99241,0.54029,0.81197,0.47509,0.3991,0.62571,1.09514,0.93089,6.73785e-05,6.73785e-05,6.73785e-05
67,1409.94,0.80681,1.25043,0.98377,0.53257,0.83288,0.47608,0.39839,0.63283,1.09018,0.93317,6.55074e-05,6.55074e-05,6.55074e-05
68,1430.91,0.81205,1.25288,0.98807,0.5322,0.83398,0.47932,0.40252,0.62471,1.08607,0.92969,6.36363e-05,6.36363e-05,6.36363e-05
69,1451.87,0.8095,1.25039,0.98609,0.53365,0.83565,0.47463,0.39951,0.61519,1.08201,0.92769,6.17652e-05,6.17652e-05,6.17652e-05
70,1472.77,0.8032,1.24926,0.98118,0.54055,0.81486,0.48033,0.40528,0.61563,1.07853,0.92567,5.98941e-05,5.98941e-05,5.98941e-05
71,1493.7,0.81022,1.24519,0.98273,0.53144,0.83623,0.47716,0.40186,0.61916,1.07682,0.92799,5.8023e-05,5.8023e-05,5.8023e-05
72,1514.68,0.8076,1.2494,0.98461,0.51526,0.84963,0.48391,0.40702,0.62073,1.08174,0.92689,5.61519e-05,5.61519e-05,5.61519e-05
73,1535.68,0.80326,1.23903,0.98301,0.51256,0.84988,0.47985,0.40502,0.61596,1.07771,0.9247,5.42808e-05,5.42808e-05,5.42808e-05
74,1556.66,0.79967,1.23877,0.98336,0.53409,0.83644,0.47717,0.40308,0.613,1.07546,0.92215,5.24097e-05,5.24097e-05,5.24097e-05
75,1577.64,0.80201,1.23837,0.98192,0.54066,0.82247,0.48087,0.40591,0.6106,1.07177,0.92194,5.05386e-05,5.05386e-05,5.05386e-05
76,1598.56,0.79488,1.24163,0.97707,0.53284,0.83493,0.48012,0.40578,0.60988,1.0792,0.92353,4.86675e-05,4.86675e-05,4.86675e-05
77,1619.49,0.78723,1.22013,0.97816,0.52517,0.85287,0.47962,0.40424,0.61218,1.07481,0.92229,4.67964e-05,4.67964e-05,4.67964e-05
78,1640.41,0.78896,1.23159,0.98165,0.52409,0.85148,0.47806,0.40348,0.6052,1.07252,0.92146,4.49253e-05,4.49253e-05,4.49253e-05
79,1661.36,0.78844,1.22951,0.97922,0.52123,0.85116,0.48384,0.4098,0.60036,1.06622,0.91899,4.30542e-05,4.30542e-05,4.30542e-05
80,1682.28,0.79635,1.22231,0.97445,0.54052,0.82121,0.4795,0.40676,0.60231,1.06696,0.92053,4.11831e-05,4.11831e-05,4.11831e-05
81,1703.22,0.78614,1.23291,0.98149,0.54065,0.81739,0.48283,0.4105,0.60003,1.06625,0.91853,3.9312e-05,3.9312e-05,3.9312e-05
82,1724.15,0.77694,1.21868,0.97359,0.51581,0.85367,0.48361,0.41005,0.60232,1.06128,0.91899,3.74409e-05,3.74409e-05,3.74409e-05
83,1745.06,0.78549,1.22033,0.97188,0.52133,0.85099,0.4829,0.40959,0.59961,1.06371,0.91745,3.55698e-05,3.55698e-05,3.55698e-05
84,1766.01,0.78362,1.22496,0.97241,0.51247,0.85364,0.48345,0.41026,0.59856,1.05936,0.91698,3.36987e-05,3.36987e-05,3.36987e-05
85,1787.04,0.77795,1.21392,0.97435,0.51474,0.85265,0.48155,0.40723,0.60569,1.06331,0.92006,3.18276e-05,3.18276e-05,3.18276e-05
86,1808.04,0.78323,1.22547,0.97774,0.52866,0.85264,0.48005,0.40788,0.59723,1.06077,0.91773,2.99565e-05,2.99565e-05,2.99565e-05
87,1829.09,0.77914,1.21292,0.97179,0.52944,0.84094,0.4784,0.40665,0.6024,1.06507,0.91831,2.80854e-05,2.80854e-05,2.80854e-05
88,1850.05,0.77052,1.20892,0.97284,0.52998,0.84359,0.4816,0.40814,0.59844,1.0566,0.91736,2.62143e-05,2.62143e-05,2.62143e-05
