epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,451.139,0.36687,0.46097,0.81827,0.77747,0.81309,0.87199,0.82919,0.30525,0.53056,0.8005,0.00016516,0.00016516,0.00016516
43,461.856,0.36635,0.46124,0.81957,0.69567,0.81168,0.82394,0.7807,0.30924,0.64575,0.80167,0.000162408,0.000162408,0.000162408
44,472.508,0.36323,0.426,0.81763,0.74301,0.7197,0.79763,0.75963,0.30487,0.71089,0.79987,0.000159655,0.000159655,0.000159655
45,483.172,0.36157,0.4414,0.8188,0.64308,0.78531,0.76556,0.72591,0.30902,0.74829,0.80168,0.000156903,0.000156903,0.000156903
46,493.886,0.35817,0.40624,0.81435,0.74691,0.78379,0.81589,0.77676,0.30267,0.72403,0.80166,0.000154151,0.000154151,0.000154151
47,504.555,0.3637,0.42617,0.81551,0.77765,0.79715,0.85778,0.81683,0.31174,0.58133,0.80442,0.000151399,0.000151399,0.000151399
48,515.234,0.35632,0.40787,0.81501,0.72976,0.73109,0.7857,0.75056,0.30706,0.73612,0.79972,0.000148647,0.000148647,0.000148647
49,525.962,0.35602,0.40672,0.81393,0.68115,0.82927,0.79916,0.76224,0.3038,0.71299,0.80005,0.000145894,0.000145894,0.000145894
50,536.635,0.35475,0.40882,0.817,0.75837,0.82987,0.8677,0.82615,0.30517,0.59024,0.80245,0.000143142,0.000143142,0.000143142
51,547.304,0.35596,0.39608,0.81557,0.75264,0.81303,0.84716,0.80593,0.30671,0.62228,0.80119,0.00014039,0.00014039,0.00014039
52,558.023,0.35622,0.41457,0.81541,0.77178,0.81484,0.85768,0.81721,0.30178,0.62451,0.79989,0.000137638,0.000137638,0.000137638
53,568.688,0.35387,0.41608,0.8142,0.60743,0.81848,0.7476,0.71235,0.30832,0.79666,0.80209,0.000134886,0.000134886,0.000134886
54,579.349,0.3527,0.39058,0.81544,0.81501,0.83499,0.89163,0.85079,0.30075,0.51357,0.80062,0.000132133,0.000132133,0.000132133
55,590.079,0.35231,0.38592,0.81376,0.77075,0.82263,0.85489,0.81668,0.303,0.59092,0.80061,0.000129381,0.000129381,0.000129381
56,600.794,0.35153,0.36977,0.81398,0.74176,0.82511,0.84925,0.80867,0.30134,0.63326,0.80022,0.000126629,0.000126629,0.000126629
57,611.45,0.34865,0.36731,0.81252,0.70482,0.78538,0.8176,0.77795,0.30102,0.70283,0.80002,0.000123877,0.000123877,0.000123877
58,622.11,0.3459,0.35867,0.81194,0.87421,0.83639,0.92157,0.87914,0.29465,0.44694,0.79917,0.000121125,0.000121125,0.000121125
59,632.91,0.347,0.36031,0.81318,0.69883,0.82416,0.81719,0.77844,0.30163,0.6856,0.80088,0.000118372,0.000118372,0.000118372
60,643.569,0.34678,0.35249,0.81219,0.80437,0.85394,0.89041,0.84777,0.3024,0.50945,0.80135,0.00011562,0.00011562,0.00011562
61,654.232,0.34789,0.35105,0.81169,0.76941,0.82435,0.86432,0.82628,0.29844,0.61423,0.80012,0.000112868,0.000112868,0.000112868
62,664.943,0.34348,0.34541,0.81213,0.80771,0.8099,0.88912,0.85038,0.29307,0.54708,0.7979,0.000110116,0.000110116,0.000110116
63,675.61,0.34302,0.34105,0.8132,0.7564,0.84728,0.87856,0.84001,0.29701,0.57139,0.79986,0.000107364,0.000107364,0.000107364
64,686.284,0.34261,0.34287,0.81301,0.71867,0.86773,0.85437,0.81716,0.29447,0.59448,0.79928,0.000104611,0.000104611,0.000104611
65,696.996,0.33658,0.33556,0.81326,0.77141,0.86011,0.88012,0.84162,0.29063,0.54942,0.79686,0.000101859,0.000101859,0.000101859
66,707.657,0.33964,0.33172,0.81156,0.76463,0.88013,0.89167,0.85466,0.29641,0.53268,0.80009,9.9107e-05,9.9107e-05,9.9107e-05
67,718.325,0.33755,0.33097,0.81277,0.81475,0.8277,0.90231,0.86542,0.29652,0.53089,0.80005,9.63548e-05,9.63548e-05,9.63548e-05
68,729.037,0.33711,0.32969,0.81233,0.84604,0.87679,0.92802,0.88564,0.29154,0.46326,0.79944,9.36026e-05,9.36026e-05,9.36026e-05
69,739.772,0.33468,0.31328,0.81109,0.72161,0.82741,0.83757,0.8016,0.29368,0.62432,0.79837,9.08504e-05,9.08504e-05,9.08504e-05
70,750.429,0.33253,0.30855,0.81047,0.78229,0.82856,0.88214,0.84295,0.29315,0.60846,0.79862,8.80982e-05,8.80982e-05,8.80982e-05
71,761.146,0.33279,0.31594,0.80999,0.79292,0.83059,0.87376,0.83674,0.29596,0.61518,0.7993,8.5346e-05,8.5346e-05,8.5346e-05
72,771.805,0.33203,0.3178,0.80985,0.7014,0.8497,0.84456,0.80697,0.2924,0.6646,0.79858,8.25938e-05,8.25938e-05,8.25938e-05
73,782.468,0.33132,0.29838,0.80828,0.70398,0.87914,0.85979,0.82218,0.29614,0.64317,0.79898,7.98416e-05,7.98416e-05,7.98416e-05
74,793.176,0.33241,0.30576,0.81111,0.83155,0.85981,0.90796,0.87117,0.28835,0.46701,0.79775,7.70894e-05,7.70894e-05,7.70894e-05
75,803.838,0.32934,0.31144,0.81003,0.81288,0.82152,0.88203,0.84555,0.29392,0.51521,0.79978,7.43372e-05,7.43372e-05,7.43372e-05
76,814.492,0.33059,0.28914,0.81224,0.77672,0.90181,0.90152,0.86557,0.29146,0.48716,0.79905,7.1585e-05,7.1585e-05,7.1585e-05
77,825.196,0.33173,0.30448,0.80977,0.82279,0.88782,0.9062,0.87081,0.29163,0.46637,0.80061,6.88328e-05,6.88328e-05,6.88328e-05
78,835.858,0.32888,0.29785,0.81044,0.7805,0.85391,0.88157,0.84574,0.29012,0.55876,0.79929,6.60806e-05,6.60806e-05,6.60806e-05
79,846.524,0.32766,0.29176,0.80915,0.75848,0.87643,0.87031,0.83458,0.29053,0.5587,0.79884,6.33284e-05,6.33284e-05,6.33284e-05
80,857.245,0.32901,0.28408,0.81108,0.82165,0.84491,0.88968,0.85435,0.28828,0.55479,0.79828,6.05762e-05,6.05762e-05,6.05762e-05
81,867.904,0.3236,0.2804,0.80894,0.82969,0.82179,0.88005,0.84367,0.28731,0.5506,0.79801,5.7824e-05,5.7824e-05,5.7824e-05
82,878.559,0.32318,0.28201,0.80983,0.84145,0.89854,0.91692,0.88223,0.28505,0.43775,0.79661,5.50718e-05,5.50718e-05,5.50718e-05
83,889.27,0.3225,0.27558,0.80637,0.82011,0.87868,0.90904,0.87367,0.28923,0.5026,0.79809,5.23196e-05,5.23196e-05,5.23196e-05
84,899.919,0.3239,0.2753,0.80934,0.82659,0.82294,0.90113,0.86677,0.28948,0.50103,0.79901,4.95674e-05,4.95674e-05,4.95674e-05
85,910.605,0.32494,0.28683,0.80966,0.83463,0.80009,0.88143,0.84668,0.28864,0.54375,0.79926,4.68152e-05,4.68152e-05,4.68152e-05
86,921.322,0.32066,0.27098,0.80684,0.78444,0.81484,0.86799,0.83515,0.28994,0.60386,0.79916,4.4063e-05,4.4063e-05,4.4063e-05
87,931.973,0.31896,0.26528,0.80891,0.77662,0.85922,0.87558,0.8423,0.28927,0.58632,0.79887,4.13108e-05,4.13108e-05,4.13108e-05
88,942.624,0.31616,0.26338,0.80811,0.81291,0.87302,0.90544,0.87054,0.28609,0.49774,0.79826,3.85586e-05,3.85586e-05,3.85586e-05
89,953.328,0.31544,0.26595,0.80999,0.78209,0.87069,0.89113,0.85756,0.28702,0.55272,0.79797,3.58064e-05,3.58064e-05,3.58064e-05
90,963.996,0.3193,0.27167,0.807,0.74033,0.86572,0.86253,0.82725,0.2885,0.62826,0.79935,3.30542e-05,3.30542e-05,3.30542e-05
91,975.005,0.27892,0.18797,0.79188,0.80459,0.8536,0.89305,0.85922,0.28658,0.51911,0.79927,3.0302e-05,3.0302e-05,3.0302e-05
92,985.618,0.27627,0.18097,0.79141,0.77201,0.84235,0.85841,0.82528,0.28974,0.5996,0.79977,2.75498e-05,2.75498e-05,2.75498e-05
93,996.154,0.27433,0.18143,0.79056,0.7792,0.79558,0.84742,0.81454,0.28726,0.63369,0.79961,2.47976e-05,2.47976e-05,2.47976e-05
94,1006.69,0.27269,0.17541,0.78809,0.80011,0.85645,0.88026,0.84768,0.2847,0.5318,0.7994,2.20454e-05,2.20454e-05,2.20454e-05
95,1017.27,0.2735,0.17883,0.7895,0.80704,0.85423,0.8864,0.8542,0.28542,0.52474,0.79927,1.92932e-05,1.92932e-05,1.92932e-05
96,1027.81,0.27314,0.17625,0.78883,0.83649,0.85025,0.90537,0.87376,0.28361,0.478,0.79821,1.6541e-05,1.6541e-05,1.6541e-05
97,1038.39,0.27122,0.17069,0.78627,0.78696,0.88095,0.89088,0.85858,0.28271,0.51995,0.79771,1.37888e-05,1.37888e-05,1.37888e-05
98,1048.92,0.26997,0.1696,0.78925,0.78487,0.88781,0.89075,0.85885,0.28293,0.51745,0.79835,1.10366e-05,1.10366e-05,1.10366e-05
99,1059.45,0.26901,0.17156,0.78817,0.82226,0.82775,0.88707,0.85512,0.28241,0.52675,0.79816,8.2844e-06,8.2844e-06,8.2844e-06
100,1070.03,0.26715,0.16695,0.78873,0.78966,0.87361,0.8881,0.8557,0.28164,0.5204,0.79791,5.5322e-06,5.5322e-06,5.5322e-06
